2015-11-25T13:15:56.920+0900 I JOURNAL  [initandlisten] journal dir=/data/db/journal
2015-11-25T13:15:56.921+0900 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-11-25T13:15:56.935+0900 I JOURNAL  [durability] Durability thread started
2015-11-25T13:15:56.935+0900 I JOURNAL  [journal writer] Journal writer thread started
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] MongoDB starting : pid=16013 port=27017 dbpath=/data/db 64-bit host=nakajimas-MacBook-Pro.local
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] db version v3.0.6
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] git version: nogitversion
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] build info: Darwin yosemitevm.local 14.5.0 Darwin Kernel Version 14.5.0: Wed Jul 29 02:26:53 PDT 2015; root:xnu-2782.40.9~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] allocator: system
2015-11-25T13:15:56.936+0900 I CONTROL  [initandlisten] options: { systemLog: { destination: "file", path: ".etc/proxy-mongodb/mongodb/mongodb.log" } }
2015-11-25T13:15:57.102+0900 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-11-25T13:16:09.401+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53209 #1 (1 connection now open)
2015-11-25T13:16:09.401+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53210 #2 (2 connections now open)
2015-11-25T13:16:09.403+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53211 #3 (3 connections now open)
2015-11-25T13:16:09.403+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53212 #4 (4 connections now open)
2015-11-25T13:16:09.403+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53213 #5 (5 connections now open)
2015-11-25T13:16:09.403+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53214 #6 (6 connections now open)
2015-11-25T13:16:09.406+0900 I NETWORK  [conn2] end connection 127.0.0.1:53210 (5 connections now open)
2015-11-25T13:16:09.413+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53215 #7 (6 connections now open)
2015-11-25T13:16:09.413+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53216 #8 (7 connections now open)
2015-11-25T13:16:09.413+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53217 #9 (8 connections now open)
2015-11-25T13:16:09.413+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53218 #10 (9 connections now open)
2015-11-25T13:16:09.413+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53219 #11 (10 connections now open)
2015-11-25T13:16:09.415+0900 I INDEX    [conn6] build index on: chat_dev.user3 properties: { v: 1, unique: true, key: { local.username: 1 }, name: "local.username_1", ns: "chat_dev.user3", background: true }
2015-11-25T13:16:09.415+0900 I INDEX    [conn6] build index done.  scanned 0 total records. 0 secs
2015-11-25T13:16:19.459+0900 I NETWORK  [conn11] end connection 127.0.0.1:53219 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn1] end connection 127.0.0.1:53209 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn8] end connection 127.0.0.1:53216 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn10] end connection 127.0.0.1:53218 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn9] end connection 127.0.0.1:53217 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn7] end connection 127.0.0.1:53215 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn6] end connection 127.0.0.1:53214 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn4] end connection 127.0.0.1:53212 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn5] end connection 127.0.0.1:53213 (9 connections now open)
2015-11-25T13:16:19.459+0900 I NETWORK  [conn3] end connection 127.0.0.1:53211 (9 connections now open)
2015-11-25T13:16:21.892+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53225 #12 (1 connection now open)
2015-11-25T13:16:21.892+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53226 #13 (2 connections now open)
2015-11-25T13:16:21.893+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53227 #14 (3 connections now open)
2015-11-25T13:16:21.893+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53228 #15 (4 connections now open)
2015-11-25T13:16:21.893+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53229 #16 (5 connections now open)
2015-11-25T13:16:21.893+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53230 #17 (6 connections now open)
2015-11-25T13:16:21.896+0900 I NETWORK  [conn13] end connection 127.0.0.1:53226 (5 connections now open)
2015-11-25T13:16:21.903+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53231 #18 (6 connections now open)
2015-11-25T13:16:21.904+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53232 #19 (7 connections now open)
2015-11-25T13:16:21.904+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53233 #20 (8 connections now open)
2015-11-25T13:16:21.904+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53234 #21 (9 connections now open)
2015-11-25T13:16:21.904+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53235 #22 (10 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn20] end connection 127.0.0.1:53233 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn12] end connection 127.0.0.1:53225 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn19] end connection 127.0.0.1:53232 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn21] end connection 127.0.0.1:53234 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn22] end connection 127.0.0.1:53235 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn18] end connection 127.0.0.1:53231 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn16] end connection 127.0.0.1:53229 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn14] end connection 127.0.0.1:53227 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn15] end connection 127.0.0.1:53228 (9 connections now open)
2015-11-25T13:29:52.087+0900 I NETWORK  [conn17] end connection 127.0.0.1:53230 (9 connections now open)
2015-11-25T14:15:06.756+0900 I CONTROL  [signalProcessingThread] got signal 2 (Interrupt: 2), will terminate after current cmd ends
2015-11-25T14:15:06.759+0900 I CONTROL  [signalProcessingThread] now exiting
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] closing listening socket: 6
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] closing listening socket: 7
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
2015-11-25T14:15:06.760+0900 I NETWORK  [signalProcessingThread] shutdown: going to close sockets...
2015-11-25T14:15:06.760+0900 I STORAGE  [signalProcessingThread] shutdown: waiting for fs preallocator...
2015-11-25T14:15:06.760+0900 I STORAGE  [signalProcessingThread] shutdown: final commit...
2015-11-25T14:15:06.765+0900 I JOURNAL  [signalProcessingThread] journalCleanup...
2015-11-25T14:15:06.765+0900 I JOURNAL  [signalProcessingThread] removeJournalFiles
2015-11-25T14:15:06.767+0900 I JOURNAL  [signalProcessingThread] Terminating durability thread ...
