2015-12-07T17:29:39.371+0900 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2015-12-07T17:29:39.383+0900 I JOURNAL  [initandlisten] journal dir=/data/db/journal
2015-12-07T17:29:39.383+0900 I JOURNAL  [initandlisten] recover begin
2015-12-07T17:29:39.384+0900 I JOURNAL  [initandlisten] recover lsn: 13631931
2015-12-07T17:29:39.384+0900 I JOURNAL  [initandlisten] recover /data/db/journal/j._0
2015-12-07T17:29:39.392+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:0 < lsn:13631931
2015-12-07T17:29:39.392+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2489321 < lsn:13631931
2015-12-07T17:29:39.393+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2541141 < lsn:13631931
2015-12-07T17:29:39.393+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2593223 < lsn:13631931
2015-12-07T17:29:39.394+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2645535 < lsn:13631931
2015-12-07T17:29:39.394+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2697620 < lsn:13631931
2015-12-07T17:29:39.395+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2749690 < lsn:13631931
2015-12-07T17:29:39.395+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:2904780 < lsn:13631931
2015-12-07T17:29:39.396+0900 I JOURNAL  [initandlisten] recover skipping application of section seq:3008870 < lsn:13631931
2015-12-07T17:29:39.396+0900 I JOURNAL  [initandlisten] recover skipping application of section more...
2015-12-07T17:29:39.426+0900 I JOURNAL  [initandlisten] recover cleaning up
2015-12-07T17:29:39.426+0900 I JOURNAL  [initandlisten] removeJournalFiles
2015-12-07T17:29:39.442+0900 I JOURNAL  [initandlisten] recover done
2015-12-07T17:29:39.478+0900 I JOURNAL  [durability] Durability thread started
2015-12-07T17:29:39.478+0900 I JOURNAL  [journal writer] Journal writer thread started
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] MongoDB starting : pid=1535 port=27017 dbpath=/data/db 64-bit host=nakajimas-MacBook-Pro.local
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] db version v3.0.6
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] git version: nogitversion
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] build info: Darwin yosemitevm.local 14.5.0 Darwin Kernel Version 14.5.0: Wed Jul 29 02:26:53 PDT 2015; root:xnu-2782.40.9~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] allocator: system
2015-12-07T17:29:39.479+0900 I CONTROL  [initandlisten] options: { systemLog: { destination: "file", path: "log/mongodb.log" } }
2015-12-07T17:29:39.900+0900 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-12-07T17:29:45.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49339 #1 (1 connection now open)
2015-12-07T17:29:45.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49340 #2 (2 connections now open)
2015-12-07T17:29:45.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49341 #3 (3 connections now open)
2015-12-07T17:29:45.711+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49342 #4 (4 connections now open)
2015-12-07T17:29:45.711+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49343 #5 (5 connections now open)
2015-12-07T17:30:15.102+0900 I NETWORK  [conn3] end connection 127.0.0.1:49341 (4 connections now open)
2015-12-07T17:30:15.102+0900 I NETWORK  [conn5] end connection 127.0.0.1:49343 (4 connections now open)
2015-12-07T17:30:15.102+0900 I NETWORK  [conn1] end connection 127.0.0.1:49339 (4 connections now open)
2015-12-07T17:30:15.102+0900 I NETWORK  [conn4] end connection 127.0.0.1:49342 (4 connections now open)
2015-12-07T17:30:15.102+0900 I NETWORK  [conn2] end connection 127.0.0.1:49340 (4 connections now open)
2015-12-07T17:30:16.111+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49440 #6 (1 connection now open)
2015-12-07T17:30:16.111+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49441 #7 (2 connections now open)
2015-12-07T17:30:16.111+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49442 #8 (3 connections now open)
2015-12-07T17:30:16.111+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49443 #9 (4 connections now open)
2015-12-07T17:30:16.113+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49444 #10 (5 connections now open)
2015-12-07T17:30:21.481+0900 I NETWORK  [conn10] end connection 127.0.0.1:49444 (4 connections now open)
2015-12-07T17:30:21.481+0900 I NETWORK  [conn9] end connection 127.0.0.1:49443 (3 connections now open)
2015-12-07T17:30:21.481+0900 I NETWORK  [conn8] end connection 127.0.0.1:49442 (2 connections now open)
2015-12-07T17:30:21.481+0900 I NETWORK  [conn7] end connection 127.0.0.1:49441 (2 connections now open)
2015-12-07T17:30:21.482+0900 I NETWORK  [conn6] end connection 127.0.0.1:49440 (0 connections now open)
2015-12-07T17:30:24.620+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49480 #11 (1 connection now open)
2015-12-07T17:30:24.620+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49481 #12 (2 connections now open)
2015-12-07T17:30:24.623+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49482 #13 (3 connections now open)
2015-12-07T17:30:24.623+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49483 #14 (4 connections now open)
2015-12-07T17:30:24.623+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49484 #15 (5 connections now open)
2015-12-07T17:30:32.283+0900 I NETWORK  [conn15] end connection 127.0.0.1:49484 (4 connections now open)
2015-12-07T17:30:32.283+0900 I NETWORK  [conn14] end connection 127.0.0.1:49483 (3 connections now open)
2015-12-07T17:30:32.283+0900 I NETWORK  [conn11] end connection 127.0.0.1:49480 (2 connections now open)
2015-12-07T17:30:32.283+0900 I NETWORK  [conn13] end connection 127.0.0.1:49482 (1 connection now open)
2015-12-07T17:30:32.284+0900 I NETWORK  [conn12] end connection 127.0.0.1:49481 (0 connections now open)
2015-12-07T17:30:33.247+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49513 #16 (1 connection now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49514 #17 (2 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49515 #18 (3 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49516 #19 (4 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49517 #20 (5 connections now open)
2015-12-07T17:30:43.988+0900 I NETWORK  [conn16] end connection 127.0.0.1:49513 (4 connections now open)
2015-12-07T17:30:43.988+0900 I NETWORK  [conn20] end connection 127.0.0.1:49517 (3 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn19] end connection 127.0.0.1:49516 (2 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn18] end connection 127.0.0.1:49515 (2 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn17] end connection 127.0.0.1:49514 (1 connection now open)
2015-12-07T17:30:45.026+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49546 #21 (1 connection now open)
2015-12-07T17:30:45.026+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49547 #22 (2 connections now open)
2015-12-07T17:30:45.028+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49548 #23 (3 connections now open)
2015-12-07T17:30:45.029+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49549 #24 (4 connections now open)
2015-12-07T17:30:45.029+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49550 #25 (5 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn23] end connection 127.0.0.1:49548 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn25] end connection 127.0.0.1:49550 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn24] end connection 127.0.0.1:49549 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn21] end connection 127.0.0.1:49546 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn22] end connection 127.0.0.1:49547 (4 connections now open)
2015-12-07T17:30:47.585+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49566 #26 (1 connection now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49567 #27 (2 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49568 #28 (3 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49569 #29 (4 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49570 #30 (5 connections now open)
2015-12-07T17:30:52.502+0900 I NETWORK  [conn26] end connection 127.0.0.1:49566 (4 connections now open)
2015-12-07T17:30:52.502+0900 I NETWORK  [conn30] end connection 127.0.0.1:49570 (3 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn29] end connection 127.0.0.1:49569 (2 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn28] end connection 127.0.0.1:49568 (2 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn27] end connection 127.0.0.1:49567 (1 connection now open)
2015-12-07T17:30:53.520+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49597 #31 (1 connection now open)
2015-12-07T17:30:53.520+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49598 #32 (2 connections now open)
2015-12-07T17:30:53.522+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49599 #33 (3 connections now open)
2015-12-07T17:30:53.523+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49600 #34 (4 connections now open)
